question_id,answer
1000000371,Don Johnson
1000000372,A crossword puzzle
1000000373,Because You Loved Me
1000000374,Texas
1000000375,Charlie Sheen
1000000376,Charles W. Fairbanks
1000000377,Nicaragua
1000000378,Fairbanks
1000000379,Joseph
1000000380,Pius
1000000381,Everly
1000000382,Elizabeth Taylor: The Last Star
1000000383,HKJ
1000000384,India
1000000385,Rudolph Dirks
1000000386,Shelley Fabares
1000000387,Venezuela
1000000388,Robert Zemeckis
1000000389,Bolivia
1000000390,Captain
1000000391,Rhode Island
1000000392,Robert
1000000393,Costa Rica
1000000394,Tom T. Hall
1000000395,Suspicious Minds
1000000396,Agnes de Mille
1000000397,Zane Gray
1000000398,David Wark
1000000399,Charles Schulz
1000000400,Howard Hawks
1000000401,1927
1000000402,Denmark
1000000403,Crocodile Rock
1000000404,1960s
1000000405,Bath
1000000406,Capitol
1000000407,Milton Babbit
1000000408,Oklahoma
1000000409,Athens
1000000410,A wooden cross
1000000411,Siberia
1000000412,32
1000000413,Fighting well
1000000414,Minnesota
1000000415,W H Davies
1000000416,1930s
1000000417,1946
1000000418,William Bailey
1000000419,He was blind
1000000420,John Buchan
1000000421,Australia
1000000422,Saratoga Springs
1000000423,ANC
1000000424,Cavalese
1000000425,Libra
1000000426,Puerto Rico
1000000427,Accountancy
1000000428,Spain
1000000429,1993
1000000430,Woodrow Wilson
1000000431,1987
1000000432,Air Hostess
1000000433,Venezuela
1000000434,Operation Junction City
1000000435,Night Shift
1000000436,Karuna
1000000437,Queen Mary
1000000438,Project Mercury
1000000439,Ireland
1000000440,Hammond Innes
1000000441,Gliding
1000000442,Anwar El-Sadat
1000000443,Piano
1000000444,Hearing Aid
1000000445,Charles Schulz
1000000446,Painting
1000000447,El Salvador
1000000448,John Paul I
1000000449,Curran
1000000450,Photographer
1000000451,Uruguay
1000000452,David Lean
1000000453,Eldred
1000000454,Georgia
1000000455,Lenin
1000000456,Dallas
1000000457,Philip Johnson
1000000458,Louella Parsons
1000000459,1942
1000000460,Hungary
1000000461,Chris Evert
1000000462,Tracey Austin
1000000463,80
1000000464,T-Bone Walker
1000000465,TS Kuhn
1000000466,N. Ireland
1000000467,Rothschild
1000000468,March
1000000469,Art Historian
1000000470,Winnie Mandela
1000000471,Brigadier General
1000000472,Amelia Earhart
1000000473,George Patton
1000000474,Jiang Qing
1000000475,Libya
1000000476,Hawaii
1000000477,James Whittaker
1000000478,Congo
1000000479,Long Walk To Freedom
1000000480,Red Brigade
1000000481,Afghanistan
1000000482,Imelda Marcos
1000000483,1979
1000000484,Colin Powel
1000000485,Radovan Karadzic
1000000486,Norman Schwarzkopf
1000000487,Agnes
1000000488,Stella McCartney
1000000489,Rachel Hunter
1000000490,Bobby Fischer
1000000491,Adolph Rickenbacker
1000000492,Sam Ervin
1000000493,Alan Freed
1000000494,Let's do it
1000000495,Czechoslovakia
1000000496,Bob Fosse
1000000497,Naomi Campbell
1000000498,Gucci
1000000499,38
1000000500,Ralph Johnson Bunche
1000000501,Tom Watson
1000000502,Three
1000000503,David Bowie
1000000504,Bea Arthur
1000000505,Lisa Kudrow
1000000506,Jethro Bodine
1000000507,Granby's Green Acres
1000000508,Murphy Brown
1000000509,1895
1000000510,Mama's Family
1000000511,Donald P. Bellisario
1000000512,Marsh Tracy
1000000513,William S. Paley
1000000514,John Landis
1000000515,David Frost
1000000516,Rob Petrie
1000000517,Emma Thompson
1000000518,I Love Lucy
1000000519,Janet
1000000520,Petticoat Junction
1000000521,Nurses
1000000522,Johnny Carson
1000000523,De Fazio
1000000524,Wood Newton
1000000525,Jackie Mason
1000000526,Debbie Thompson
1000000527,Barbara Walters
1000000528,Blanch
1000000529,Children's Television Workshop
1000000530,French
1000000531,Donald Trump
1000000532,Aristotle
1000000533,Godzooky
1000000534,Joyce Whitman
1000000535,Barr
1000000536,Amanda's
1000000537,Emiliano Zapata
1000000538,1964
1000000539,1940s
1000000540,Foreigner
1000000541,Hotel California
1000000542,The Lion in Winter
1000000543,John
1000000544,1908
1000000545,Billie Holiday
1000000546,Herman Hollerith
1000000547,Football
1000000548,Rebecca
1000000549,High Street
1000000550,Burundi
1000000551,Oslo
1000000552,The Silver Chalice
1000000553,Positively 4th Street
1000000554,Madison
1000000555,Builder
1000000556,104
1000000557,Diane Hall
1000000558,Opera
1000000559,Mick Jagger
1000000560,Albanian
1000000561,Freddie & The Dreamers
1000000562,BS
1000000563,Herbert Marcuse
1000000564,"44,820 square miles"
1000000565,CL
1000000566,Elia Kazan
1000000567,1984
1000000568,Brooklyn Bridge
1000000569,Johnny Weissmuller
1000000570,Camelot
1000000571,1950s
1000000572,Montana
1000000573,Doctor
1000000574,Eight
1000000575,Richard Adams
1000000576,Bob Hawke
1000000577,1950s
1000000578,Zambezi
1000000579,Diana Ross
1000000580,Irving Berlin
1000000581,Taps
1000000582,Blondie
1000000583,The Man With The Golden Gun
1000000584,Philip
1000000585,Rick Astley
1000000586,Colorado
1000000587,Lusitania
1000000588,Fatal Attraction
1000000589,Mario Puzo
1000000590,Sweden
1000000591,Boxing
1000000592,The Misfits
1000000593,Cornet
1000000594,Thailand
1000000595,John F. Kennedy
1000000596,Elvis Presley
1000000597,Chuck Berry
1000000598,Without you
1000000599,Steinem
1000000600,Italy
1000000601,Latvia
1000000602,The Lone Ranger
1000000603,1954
1000000604,Taurus
1000000605,The Dead
1000000606,New York Jets
1000000607,Olive
1000000608,Kiri Te Kanawa
1000000609,Nigeria
1000000610,Groucho Marx
1000000611,Peru
1000000612,Donna Summer
1000000613,Curium
1000000614,Nine
1000000615,Connecticut
1000000616,Quincy
1000000617,Alice Cooper
1000000618,Gilles Villeneuve
1000000619,72
1000000620,1994
1000000621,Sculptor
1000000622,John Glenn
1000000623,Lloyd Price
1000000624,Anita Loos
1000000625,Bahrain
1000000626,Alfred
1000000627,Master P
1000000628,100
1000000629,Willy Brandt
1000000630,Phantom
1000000631,Gertie
1000000632,Anthony Edwards
1000000633,Harrison Ford
1000000634,Alien Resurrection
1000000635,II
1000000636,Julia Roberts
1000000637,Louis XIV
1000000638,The Prince of Wales
1000000639,Sting
1000000640,Eyes Wide Shut
1000000641,Keanu Reeves
1000000642,50s
1000000643,Scent of a Woman
1000000644,Rose
1000000645,My Favorite Martian
1000000646,Gwyneth Paltrow
1000000647,Val Kilmer
1000000648,Ewan McGregor
1000000649,Angelica Houston
1000000650,Armageddon
1000000651,2001: A Space Odyssey
1000000652,Arnold Schwarzenegger
1000000653,Judgment Day
1000000654,Independence Day
1000000655,13
1000000656,Dead Man Walking
1000000657,New York
1000000658,Ted Danson
1000000659,Goldeneye
1000000660,Clint Eastwood
1000000661,Nicolas Cage
1000000662,New York
1000000663,The White House
1000000664,Anakin Skywalker
1000000665,The Empire strikes Back
1000000666,Barbarella
1000000667,Hepburn
1000000668,Tom Hanks
1000000669,Dustin Hoffman
1000000670,Titanic
1000000671,Park
1000000672,Friar
1000000673,The Silence of the Lambs
1000000674,Christie
1000000675,West Side Story
1000000676,Steve McQueen
1000000677,Clark Gable
1000000678,Audrey Hepburn
1000000679,Mae West
1000000680,Titanic
1000000681,John Wayne
1000000682,Casino Royale
1000000683,Thompson
1000000684,The English Patient
1000000685,Judy Garland
1000000686,Michael Cane
1000000687,Elizabeth I
1000000688,Kevin Costner
1000000689,Tandy
1000000690,Katharine Hepburn
1000000691,The Godfather
1000000692,Pianist
1000000693,Braveheart
1000000694,Michelle Pfeiffer
1000000695,Robert Downey Jr
1000000696,Natalie Wood
1000000697,Tim Rice
1000000698,Butch Cassidy and the Sundance Kid
1000000699,Vietnam
1000000700,Rita Hayworth
1000000701,Herbert Kretzmer
1000000702,2032
1000000703,Roy Scheider
1000000704,Hungary
1000000705,Riff Raff
1000000706,Adolph
1000000707,The Jerk
1000000708,The Commitments
1000000709,Best Makeup
1000000710,The Wizard of Oz
1000000711,Kit Kat
1000000712,Oklahoma
1000000713,Saint Helen of the Blessed Shroud
1000000714,Trois Hommes et un Couffin
1000000715,Roller disco
1000000716,W. H. Auden
1000000717,Phil Harris
1000000718,Joe Gideon
1000000719,Nine
1000000720,Fiddler on the Roof
1000000721,Lewis
1000000722,39
1000000723,Smiles of a Summer Night
1000000724,Angel Beach
1000000725,Woody Allen
1000000726,Michael Dorsey
1000000727,A Shot in the Dark
1000000728,Ted Neely
1000000729,Jimmy
1000000730,Davy Jones
1000000731,42nd Street
1000000732,Where the devil are my slippers?
1000000733,Frogs' Legs
1000000734,Ben Stiller
1000000735,Weight loss
1000000736,Hillary Clinton
1000000737,Margaret Thatcher
1000000738,Chess
1000000739,Satchel
1000000740,Princess Diana
1000000741,1950s
1000000742,Baby Fae
1000000743,Jamie Shea
1000000744,Anastasia
1000000745,Aretha Franklin
1000000746,Isaac Asimov
1000000747,Louisiana
1000000748,Noah
1000000749,24th November
1000000750,William C. Durant
1000000751,Luciano Pavarotti
1000000752,C5
1000000753,Vera Wang
1000000754,Yoko Ono
1000000755,Marian Anderson
1000000756,Greg Louganis
1000000757,Oxford
1000000758,James
1000000759,Arthur Ash
1000000760,Oklahoma
1000000761,Fawn Hall
1000000762,Julie Andrews
1000000763,Great-grandson
1000000764,Kramer v Kramer
1000000765,Afghanistan
1000000766,The Monkees
1000000767,Helen Keller
1000000768,Debbie Reynolds
1000000769,California
1000000770,Leslie Charles
1000000771,O Henry
1000000772,Congo
1000000773,Photographer
1000000774,Edwin Hubble
1000000775,Michael Stich
1000000776,Morocco
1000000777,Fallin' In Love
1000000778,1906
1000000779,Lili Marlene
1000000780,William Conrad
1000000781,Chile
1000000782,Vienna
1000000783,Algeria
1000000784,"Houston, Texas"
1000000785,Margaret Thatcher
1000000786,Seoul 1988
1000000787,Marshall
1000000788,Eva Peron
1000000789,May
1000000790,South Africa
1000000791,Foster
1000000792,Rock Your Baby
1000000793,Wilmington
1000000794,Switzerland
1000000795,Space Shuttle
1000000796,Zulfiqar Ali Bhutto
1000000797,Guillotine
1000000798,Reykjavik
1000000799,Diet Coke
1000000800,Hubble
1000000801,Polio
1000000802,Heathrow
1000000803,Theodore Maiman
1000000804,King Camp Gillette
1000000805,Korea
1000000806,Mattel
1000000807,France
1000000808,Freddie Laker
1000000809,Harp
1000000810,Paris
1000000811,Michelin
1000000812,Clint Eastwood
1000000813,Andy Warhol
1000000814,Heart attack while jogging
1000000815,Baby Doc
1000000816,Red Square
1000000817,London Gatwick
1000000818,Argentina
1000000819,Amoco Cadiz
1000000820,Philadelphia
1000000821,Israel
1000000822,Australia
1000000823,Mike Nesmith
1000000824,Jump Jet
1000000825,People's car
1000000826,Oil
1000000827,Nautilus
1000000828,Cadillac
1000000829,Chester Carlson
1000000830,Salt Lake City
1000000831,Dylan Thomas
1000000832,Jennifer Morrow
1000000833,Saxophone
1000000834,Blood On The Tracks
1000000835,Dreams
1000000836,Margaret Smith
1000000837,Argentina (1978)
1000000838,92
1000000839,Tomania
1000000840,Henrietta
1000000841,Chess
1000000842,John F. Kennedy
1000000843,Eniwetok
1000000844,Jordan
1000000845,Vidal Sassoon
1000000846,Mariner 4
1000000847,The Penguin
1000000848,Question Mark
1000000849,1958
1000000850,Beatrix
1000000851,Two
1000000852,1903
1000000853,Germany
1000000854,1920s
1000000855,27
1000000856,Tiros
1000000857,John Landis
1000000858,Hobart
1000000859,Kuwait
1000000860,Middleweight
1000000861,Glenn Medeiros
1000000862,King Creole
1000000863,Tulsa Oklahoma
1000000864,Cuba
1000000865,Minnesota Vikings
1000000866,Twice
1000000867,Chicago Bears
1000000868,Athens
1000000869,New York Yankees
1000000870,Denver Nuggets
1000000871,Al Unser Sr
1000000872,Terry Bradshaw
1000000873,Hubert Green
1000000874,Helsinki
1000000875,Pittsburgh Steelers
1000000876,Chuck Howley
1000000877,Anna Kournikova
1000000878,Boston Red Sox
1000000879,Dennis Conner
1000000880,Zina Garrison
1000000881,Dave Stockton
1000000882,Oakland Raiders
1000000883,Tom Watson
1000000884,1981 & 1984
1000000885,Jim Thorpe
1000000886,Steve Cauthen
1000000887,Minnesota Vikings
1000000888,Jim Courier
1000000889,Bold Arrangement
1000000890,Show Jumping
1000000891,Baltimore Orioles
1000000892,Dallas Texans
1000000893,Len Dawson
1000000894,Jersey Joe Walcott
1000000895,Steffi Graf
1000000896,Sugar Ray Robinson
1000000897,Kansas Cannonball
1000000898,Muhammad Ali
1000000899,Squash
1000000900,Knox-Johnson
1000000901,Football
1000000902,Baseball
1000000903,Walter Payton
1000000904,Muhammad Ali
1000000905,Milwaukee Braves
1000000906,Spain
1000000907,Los Angeles Dodgers
1000000908,Shot
1000000909,Chile
1000000910,Jungle
1000000911,Eight
1000000912,November
1000000913,Ireland
1000000914,United States
1000000915,1990s
1000000916,Zimbabwe
1000000917,Fullback
1000000918,Earvin
1000000919,Nine
1000000920,The Masters
1000000921,Long Jump
1000000922,Wide receiver
1000000923,Super Bowl
1000000924,Israeli
1000000925,Chantilly
1000000926,1960s
1000000927,"Melbourne, Australia"
1000000928,Tiger Woods
1000000929,Swimming
1000000930,Boris Becker
1000000931,Basket ball
1000000932,Ukraine
1000000933,North Carolina
1000000934,Michigan State
1000000935,Ernie Els
1000000936,America's Cup
1000000937,University of Southern California
1000000938,Hockey
1000000939,Montreal Canadians
1000000940,Fiji
1000000941,Wrestler
1000000942,Tennis
1000000943,Jack Dempsey
1000000944,Chile
1000000945,Ernestine
1000000946,105
1000000947,Merle Haggard
1000000948,Broccoli
1000000949,Durham
1000000950,Universal City
1000000951,Al Unser
1000000952,80
1000000953,Fly Fishing
1000000954,USA
1000000955,Germany
1000000956,Andy Gibb
1000000957,Paper Lace
1000000958,Fire-eater
1000000959,North Dakota
1000000960,Bjorn Borg
1000000961,John Landis
1000000962,Italy
1000000963,Surtsey
1000000964,Santana
1000000965,Morgan Fairchild
1000000966,Nebraska
1000000967,Camilla Parker Bowles
1000000968,William
1000000969,Geffen
1000000970,Captain Fantastic And The Brown Dirt Cowboy
1000000971,Illinois
1000000972,Canada
1000000973,Tonkin Gulf incident
1000000974,I Just Can't Stop Loving You
1000000975,EAT
1000000976,Hamburger
1000000977,Philip Johnson
1000000978,Bill Cullen
1000000979,Beau (Roger Moore)
1000000980,I Love Violence
1000000981,Lenny Schulz
1000000982,The Gong Show
1000000983,Billy Manucci
1000000984,Fred MacMurray
1000000985,Elliott Gould married Barbra Streisand
1000000986,Phil Silvers
1000000987,The Fifteenth Pelican
1000000988,Guitar
1000000989,Ken Howard
1000000990,One of The Boys
1000000991,Ned Keaton
1000000992,Sammy Davis Jr
1000000993,Mr. T
1000000994,The Dick Powell Show
1000000995,Marvin Kaplan
1000000996,Gene Anthony Ray
1000000997,Gorbachev
1000000998,The Dali Lama
1000000999,Ho Chi Minh
1000001000,Bao Dai
1000001001,William Jennings Bryan
1000001002,Lumumba
1000001003,Papandreou
1000001004,Pius XII
1000001005,Richard Nixon
1000001006,John Lindsay
1000001007,Eduard Shevardnadze
1000001008,Lung
1000001009,John Poindexter
1000001010,Lyndon B. Johnson
1000001011,Woodrow Wilson
1000001012,Le Duc Tho
1000001013,Franklin D. Roosevelt
1000001014,Dean Acheson
1000001015,Wisconsin
1000001016,Herbert Hoover
1000001017,Truman
1000001018,Dwight D. Eisenhower
1000001019,Indiana
1000001020,Iceland
1000001021,Geraldine Ferraro
1000001022,The Killers
1000001023,Alexander Haig
1000001024,14
1000001025,Georgia
1000001026,Chris Eubank
1000001027,Arnold Schwarzenegger
1000001028,Arthur Ash
1000001029,Bowls
1000001030,Arnold Palmer
1000001031,1980s
1000001032,Babe Zaharias
1000001033,Leroy Burrell
1000001034,Martina Navratilova
1000001035,Churchill Downs
1000001036,Bob Mathias
1000001037,Netherlands
1000001038,Yvon Petra
1000001039,Hale Irwin
1000001040,Lee Trevino
1000001041,John Gaines
1000001042,Los Angeles Rams
1000001043,Bahram
1000001044,Pittsburg Pirates
1000001045,Lindsay Davenport
1000001046,Goldfinger
1000001047,122
1000001048,Six furlongs
1000001049,San Francisco 49ers
1000001050,Netherlands
1000001051,Billie Jean King
1000001052,Bart Star
1000001053,Bill Tilden
1000001054,Table Tennis
1000001055,2nd decade
1000001056,Eight
1000001057,Search Engine
1000001058,Shopping
1000001059,Article
1000001060,Dots
1000001061,College or University
1000001062,Telstar
1000001063,Look around
1000001064,First
1000001065,Phone
1000001066,Question
1000001067,E
1000001068,Bookmarks
1000001069,At
1000001070,Sender
1000001071,Browser
1000001072,Navigator
1000001073,On line
1000001074,Internet user
1000001075,Dot
1000001076,Virus
1000001077,Love Is
1000001078,Hospital
1000001079,Marie
1000001080,Oceans
1000001081,Orson Wells
1000001082,Christmas Day
1000001083,Nanu Nanu
1000001084,Cape Verde
1000001085,Oprah Winfrey
1000001086,Vacation
1000001087,Newark
1000001088,Stephen Sondheim
1000001089,Leon Spinks
1000001090,Italy
1000001091,Robert Wise
1000001092,Ursula Le Guin
1000001093,Marvin
1000001094,Nicaragua
1000001095,South Pacific
1000001096,Benny Goodman
1000001097,1972
1000001098,France
1000001099,USA
1000001100,Nike
1000001101,Hooked On A Feeling
1000001102,Sculpture
1000001103,1976
1000001104,42
1000001105,Venezuela
1000001106,Eleanor Gow
1000001107,Saxophone
1000001108,John Dillinger
1000001109,Lionel Richie
1000001110,Guy Mitchell
1000001111,China
1000001112,Squash
1000001113,American
1000001114,Nurse
1000001115,Film Director
1000001116,Simple Minds
1000001117,Sony
1000001118,Four
1000001119,Loretta Lynn
1000001120,Two
1000001121,Brazil
1000001122,USA
1000001123,Rocky Mountains
1000001124,Canada
1000001125,30
1000001126,Aspects of Love
1000001127,Roy Rogers
1000001128,Michael Cimino
1000001129,Yellow
1000001130,Roosevelt
1000001131,Painting
1000001132,The Living Daylights
1000001133,Alexander Solzhenitsyn
1000001134,August
1000001135,Elizabeth Taylor
1000001136,Joseph Heller
1000001137,Bulgaria
1000001138,John Paul I
1000001139,Salvador Dali
1000001140,Theodore
1000001141,South Africa
1000001142,Freud
1000001143,Mao Tse Tung
1000001144,Cher
1000001145,Cher
1000001146,Policeman
1000001147,Spain
1000001148,John F. Kennedy
1000001149,Albert Einstein
1000001150,Martin Luther King
1000001151,Mary McAleese
1000001152,Beagle
1000001153,19
1000001154,Zsa Zsa Gabor
1000001155,Richard Nixon
1000001156,Indira Gandhi
1000001157,Stalin
1000001158,President Kennedy
1000001159,Gandhi
1000001160,St. Andrew's
1000001161,Tallulah Bankhead
1000001162,Alexander McQueen
1000001163,Seven
1000001164,Manuel Noriega
1000001165,Patty Hearst
1000001166,William Howard Taft
1000001167,Mussolini
1000001168,Don Everly
1000001169,Gymnastics
1000001170,Gerald Ford
1000001171,Nick Faldo
1000001172,Andrew Lloyd Webber
1000001173,Carlos Menem
1000001174,Grandson
